Mirage,Prismtunity,Memento location,Dlc,SuiGeneris
Ramewl★,Thunder attacks,,,Yes
Ramuh,,Coliseum - The Responsible One,,
Ramuh★,Thunder attacks,,,Yes
Reaver Mu,Fire attacks,,,
Red Cap,Deal a lot of damage at once,,,
Red Captain,Confusion,,,
Red Dragon,Critical,,,
Right Claw,Reduce HP,,,
Sand Worm,Land a counter-attack,,,
Sandicore,Last mirage standing,,,
Sea Serpent,Water attacks,,,
Sea Snake,Water attacks,,,
Sea Worm,Reduce HP,,,
Searcher,Physical attacks,,,
Security Eye,Last Mirage Standing,,,
Serafie,Auto-imprism'd by story,,,
Sharqual,Fire attacks,,,
Shiva,,Coliseum - The Ice Sculpture Collector,,
Shiva★,Ice attacks,,,Yes
Shivalry,,"IQ - Cold, Hard Justice",,
Shivalry★,Ice attacks,,,Yes
Shivver,,Defeat Shivver in EX A,,
Shivverina,,Defeat Shivver in EX A,,
Siren,,IQ - A Smidge of Micro-Envy,,
Sistertaur,Reduce HP,,,
Skull Eater,Regen,,,
Spark Dragon,Inflict status ailments (various),,,
Sphinx,Deal a lot of damage at once,Defeat Sphinx in Phantom Sands,,
Squidraken,Reflect magic back at it,,,
Sylph,Reduce HP,,,
Tama,Auto-imprism'd by story,,,
Tamamohimé,,MV - Vestiges of Life,,
Tiamat,Oblivion,Defeat Tiamat in Crystal Tower,,
Titan,Critical,,,
Tonberry,Deal a lot of damage at once,,,
Tonberry King,Reduce HP,Defeat Tonberry King in Sunken Temple,,
Trihyde,Deal a lot of damage at once,,,
Ultima Weapon,Deal a lot of damage at once,,,
Ultros,,IQ - Freak of Nature,,
Ultros★,Face the mirage with a single party member,,,Yes
Undead Princess,,IQ - Never Cross the Boss,,
Undead Princess★,Light attacks,,,Yes
Unicorn,Status ailments (Various),,,
Valefor,Earth attacks,Plot: Given by Yuna,,
Vampire,Dark attacks,,,
Vampire Prime,Light attacks,Defeat Vampire Prime in Train Graveyard,,
Voultr,,Defeat Rairamuh in EX B,,
War Machine,Critical,IQ - The Five Cogna Lords: Tometown P2,,
Water Golem,Deal a lot of damage at once,,,
Water Toad,Berserk,,,
Weeglee,Fire attacks,Defeat Gleefrit in EX C,,
Werebat,Blind,,,
White Nakk,Ice attacks,,,
Wind Toad,Oblivion,,,
XG,Imprism'd after killing,,,
Yurugu,Inflict Oblivion,,,
Zaphr,,,,
Zapt,Thunder attacks,,,
